,ITEM.,DESCRIPCION DE PARTIDA,UND.,METRADO CONTRACTUAL,P.U. OFERTA S/.,ACUMULADO ANTERIOR,AVANCE ACTUAL,ppto,costacum,costact
0,1,"OBRAS PROVISIONALES, TRABAJOS PRELIMINARES, SEGURIDAD Y SALUD EN OBRA",,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.01,OBRAS PROVISIONALES Y TRABAJOS PRELIMINARES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,01.01.01,OBRAS PROVISIONALES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,01.01.01.01,CONSTRUCCIONES PROVISIONALES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,01.01.01.01.01,CARTEL DE IDENTIFICACIÓN DE OBRA (8.50m X 3.60m),und,1.0,2154.83,1.0,0.0,2154.83,2154.83,0.0
5,01.01.01.01.02,CONSTRUCCION DE CERCO DE MALLA HPD DE 1.00 DE ALTURA,m,1800.0,7.07,0.0,1490.2,12726.0,0.0,10535.71
6,01.01.01.01.03,"ALQUILER DE ALMACÉN, OFICINA Y CASETA DE GUARDIANIA",mes,4.0,4050.0,2.17,0.43,16200.0,8788.5,1741.5
7,01.01.01.01.04,ALQUILER DE SERVICIOS HIGIÉNICOS Y VESTUARIOS,mes,4.0,601.43,0.0,1.3,2405.72,0.0,781.86
8,01.01.01.02,INSTALACIONES PROVISIONALES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,01.01.01.02.01,AGUA PARA LA CONSTRUCCION,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,01.01.01.02.01.01,OBTENCIÓN DEL SERVICIO DE AGUA PARA LA CONSTRUCCIÓN,glb,1.0,315.0,0.54,0.11,315.0,170.1,34.65
11,01.01.01.02.01.02,ALMACENAMIENTO Y DISTRIBUCIÓN DE AGUA PARA LA CONSTRUCCIÓN,glb,1.0,2250.0,0.0,0.65,2250.0,0.0,1462.5
12,01.01.01.02.02,DESGÜE PARA LA CONSTRUCCION,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,01.01.01.02.02.01,INSTALACION  DE DESAGÜE PARA LA CONSTRUCCIÓN,glb,1.0,315.0,0.54,0.11,315.0,170.1,34.65
14,01.01.01.02.03,ENERGÍA ELÉCTRICA PROVISIONAL,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,01.01.01.02.03.01,CONEXIÓN E INSTALACIÓN DE ENERGÍA ELECTRICA PROVISIONAL,glb,1.0,658.47,0.54,0.11,658.47,355.57,72.43
16,01.01.01.02.03.02,CONSUMO Y MANTENIMIENTO DE ENERGÍA ELECTRICA PROVISIONAL,glb,1.0,1080.0,0.54,0.11,1080.0,583.2,118.8
17,01.01.02,TRABAJOS PRELIMINARES,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,01.01.02.01,MOVILIZACION Y DESMOVILIZACION DE MAQUINARIA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,01.01.02.01.01,MOVILIZACION Y DESMOVILIZACION DE EQUIPOS,glb,1.0,20413.14,0.5,0.0,20413.14,10206.57,0.0
20,01.01.02.02,"TRAZO, NIVELACIÓN Y REPLANTEO",,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,01.01.02.02.01,TRAZO Y REPLANTEO PRELIMINAR C/EQUIPO,m2,36901.11,1.54,36901.11,0.0,56827.71,56827.71,0.0
22,1.02,SEGURIDAD Y SALUD EN OBRA,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,01.02.01,MANTENIMIENTO DE TRANSITO Y SEGURIDAD VIAL,glb,1.0,145253.15,0.54,0.11,145253.15,78436.7,15977.85
